[1011/131843.154:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1011/145933.762:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/145938.779:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/145943.797:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/145948.815:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/145953.840:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/145954.813:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154442.821:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154447.839:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154452.876:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154457.897:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154502.921:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154507.934:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154512.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154517.974:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154522.981:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1011/154528.009:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
